Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:51:00,99.88588663950358,3,Open,SHORT,100,0.0
2025-12-05 06:13:00,99.9749834472494,3,Close-EOD,SHORT,100,-0.0012919859526037579
