Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 01:08:00,100.420086841771,3,Open,LONG,100,0.0
2025-12-05 06:13:00,100.18879581850628,3,Close-EOD,LONG,100,-0.0027032346469601396
