Time,Price,Type,Direction,PnL
00:20:00,99.57699782782667,Open,SHORT,0.0
01:28:00,98.3403833695362,Close,SHORT,0.012018675851511796
01:31:00,98.73480431385995,Open,SHORT,0.0
01:42:00,99.32548302275065,Close,SHORT,-0.006382477131498909
01:45:00,99.3864563088297,Open,SHORT,0.0
04:29:00,98.0812469037003,Close,SHORT,0.012732668711656526
04:31:00,98.15269997332418,Open,LONG,0.0
04:41:00,97.5572577264586,Close,LONG,-0.006466488716330754
04:42:00,97.60298769101789,Open,SHORT,0.0
05:42:00,97.07709309858618,Close,SHORT,0.004988099328439977
05:43:00,97.16283678213482,Open,LONG,0.0
06:11:00,97.48294653404976,Close,LONG,0.0028945698429196478
06:17:00,97.21999923783392,Open,SHORT,0.0
06:28:00,96.29968370107844,Close-EOD,SHORT,0.009066319110989386
