Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:47:00,99.99553443244724,3,Open,LONG,100,0.0
2025-12-05 06:13:00,99.96068631182516,3,Close-EOD,LONG,100,-0.0007484967685795093
