Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 02:08:00,100.0121309034766,3,Open,SHORT,100,0.0
2025-12-05 06:13:00,100.06675935517158,3,Close-EOD,SHORT,100,-0.000946218255740527
