Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 01:48:00,99.86501490753945,3,Open,SHORT,100,0.0
2025-12-05 06:14:00,99.741422830637,3,Close-EOD,SHORT,100,0.000837591332829302
