Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:46:00,100.53039026051302,3,Open,LONG,100,0.0
2025-12-05 06:13:00,100.3842663614886,3,Close-EOD,LONG,100,-0.0018535296107550668
