Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:52:00,100.35625809978048,3,Open,LONG,100,0.0
2025-12-05 06:13:00,100.59773073905264,3,Close-EOD,LONG,100,0.0020061542732300987
