Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 01:10:00,99.997721242075,3,Open,LONG,100,0.0
2025-12-05 06:13:00,99.20479788261191,3,Close-EOD,LONG,100,-0.008329414286787394
