Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:45:00,100.1573242705282,3,Open,LONG,100,0.0
2025-12-05 06:13:00,99.007932588407,3,Close-EOD,LONG,100,-0.011875862504240487
