Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 01:12:00,100.06726859301898,3,Open,LONG,100,0.0
2025-12-05 06:13:00,100.14392256458493,3,Close-EOD,LONG,100,0.00036602442180861983
