Time,Price,Type,Direction,PnL
00:12:00,98.92017047782969,Open,LONG,0.0
00:43:00,105.98311613802149,Close,LONG,0.07100045984630383
00:45:00,105.71469551676093,Open,SHORT,0.0
00:46:00,106.77034669289402,Close,SHORT,-0.01038585079371228
00:51:00,104.4402098188673,Open,SHORT,0.0
01:09:00,101.22121137611671,Close,SHORT,0.03042144748974902
01:11:00,101.40767150233587,Open,LONG,0.0
01:39:00,102.86451930169656,Close,LONG,0.013966248408801408
01:44:00,101.64125891320384,Open,LONG,0.0
01:51:00,101.81747397754285,Close,LONG,0.0013336961999800949
01:59:00,101.2150643389886,Open,LONG,0.0
02:31:00,102.05925743791492,Close,LONG,0.00794058748506994
02:33:00,102.10843373493977,Open,LONG,0.0
05:24:00,103.17596918285386,Close,LONG,0.010054919430899157
05:28:00,103.04893041553971,Open,LONG,0.0
06:09:00,103.39521350708958,Close,LONG,0.0029603754076194646
06:20:00,102.64322596508482,Open,LONG,0.0
06:28:00,103.22516597000244,Close-EOD,LONG,0.0052695412624265804
