Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:58:00,100.12041843904842,3,Open,LONG,100,0.0
2025-12-05 06:14:00,100.35804950179624,3,Close-EOD,LONG,100,0.001973452552962396
