Time,Price,Type,Direction,PnL
00:11:00,99.36199358240604,Open,SHORT,0.0
00:20:00,100.04503574712427,Close,SHORT,-0.007274279994711907
00:30:00,99.15199564654444,Open,SHORT,0.0
01:12:00,99.71852658047324,Close,SHORT,-0.006113762292272495
01:28:00,98.77840535925392,Open,SHORT,0.0
02:35:00,96.84186823290987,Close,SHORT,0.019204863221884593
02:36:00,97.06517047906776,Open,SHORT,0.0
03:00:00,96.49659417162373,Close,SHORT,0.005457675875268198
03:06:00,96.93193972715842,Open,SHORT,0.0
03:19:00,97.50802199245652,Close,SHORT,-0.006343162459346674
03:21:00,97.54179880279972,Open,LONG,0.0
03:33:00,97.73883019646846,Close,LONG,0.0016199688347666278
03:43:00,96.40839916683868,Open,LONG,0.0
04:44:00,97.68722673622187,Close,LONG,0.012864690425676796
04:46:00,97.77073051734814,Open,LONG,0.0
05:24:00,98.45189619260287,Close,LONG,0.006566969272402812
05:29:00,98.5832504550487,Open,LONG,0.0
05:37:00,98.81405865906063,Close,LONG,0.0019412517131109479
05:40:00,98.59372126625507,Open,SHORT,0.0
05:51:00,99.15933272034675,Close,SHORT,-0.006136789795814934
05:56:00,98.62218761141656,Open,SHORT,0.0
06:01:00,98.4115516691374,Close,SHORT,0.0017357865545337252
06:03:00,98.48004353455556,Open,SHORT,0.0
06:19:00,97.84766658535214,Close,SHORT,0.006021371543987253
06:20:00,98.18543468878424,Open,SHORT,0.0
06:28:00,98.470661087238,Close-EOD,SHORT,-0.0033049766837396797
