Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 01:04:00,100.3336562817755,3,Open,LONG,100,0.0
2025-12-05 06:13:00,101.0284665774061,3,Close-EOD,LONG,100,0.00652499726790885
