Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 02:07:00,99.53527052562244,3,Open,SHORT,100,0.0
2025-12-05 06:13:00,99.61843353444485,3,Close-EOD,SHORT,100,-0.0012355129632264812
