Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:55:00,100.01776383944396,3,Open,SHORT,100,0.0
2025-12-05 06:14:00,100.76537924586044,3,Close-EOD,SHORT,100,-0.007874826248031529
