Time,Price,Strat,Type,Direction,Order Size,PnL
2025-12-05 00:45:00,100.47720234864396,3,Open,LONG,100,0.0
2025-12-05 06:13:00,100.92375981007596,3,Close-EOD,LONG,100,0.004044365995407651
